Vendor Name,Address,Zip Code,DUNS Number,ProtoLEI
"LOUIS M. GERSON CO., INC.",16 COMMERCE BLVD,023462228,001000363,000018BE2AHU2K8OOW69
LOUIS M GERSON COMPANY INCORPORATED,16 COMMERCE BLVD STE D,023461085,001000363,000018319K7WAV9N0G07
"LOUIS M. GERSON CO., INC.",16 COMMERCE BLVD,023462228,001000363,000018BE2AHU2K8OOW69
"LOUIS M. GERSON CO., INC.",16 COMMERCE BLVD STE D,023461085,001000363,0000182OL9VPF0F58G03
"STERLINGWEAR OF BOSTON, INC.",175 WILLIAM F MCCLELLAN HWY,021282120,001003748,000018VCPV84CXBMOG52
"STERLINGWEAR OF BOSTON, INC.",175 WILLIAM F MCCLELLAN HWY,021281185,001003748,000018AU18R7TT0O8O28
"ATLANTIC BATTERY COMPANY, INC.","309 MAIN STREET, REAR",024722359,001004969,000018A1UPD5VDU4W898
"ATLANTIC BATTERY COMPANY, INC.",80 ELM ST STE 86,024722823,001004969,0000183MQGXKXAX3C404
ROLLS-ROYCE NAVAL MARINE INC,110 NORFOLK ST,020811704,001006311,00001869C613JI95CS22
ROLLS-ROYCE MARINE NORTH AMERICA INC.,110 NORFOLK ST,020811704,001006311,0000181Z3S91UWNZI836
ROLLS-ROYCE NAVAL MARINE INC,110 NORFOLK ST,020811704,001006311,00001869C613JI95CS22
ROLLS ROYCE NAVAL MARINE INCORPORATED,110 NORFOLK ST,020811704,001006311,000018E7J48WOFGSG096
ANDERSON GREENWOOD CROSBY,43 KENDRICK ST,02093,001012673,0000189YWW6X2UPKW034
TYCO VALVES AND CONTROLS LIMITED PARTNERSHIP (6583),43 KENDRICK ST,020931544,001012673,0000181T162EK44M8W97
DYNAMICS RESEARCH CORPORATION (1809),60 FRONTAGE ROAD,018105498,001014182,0000184E9F8M5M0U0W23
DYNAMICS RESEARCH CORPORATION,TWO TECHNOLOGY DR,018105423,001014182,000018DZPT0Q8FO7SC59
DYNAMICS RESEARCH CORPORATION (1809),60 FRONTAGE ROAD,018105498,001014182,0000184E9F8M5M0U0W23
DYNAMICS RESEARCH CORPORATION,60 FRONTAGE ROAD,01810,001014182,0000182EECW6RLSLTS96
DYNAMICS RESEARCH CORPORATION (1809),60 FRONTAGE ROAD,018105498,001014182,0000184E9F8M5M0U0W23
DYNAMICS RESEARCH CORPORATION,2 TECH DR,018102434,001014182,00001881Q3ZIJ6JY8020
DYNAMICS RESEARCH CORPORATION (1809),60 FRONTAGE ROAD,018105498,001014182,0000184E9F8M5M0U0W23
DYNAMICS RESEARCH CORPORATION,60 FRONTAGE RD,018105498,001014182,0000187EGVCEV0VUCC67
"TRACEN TECHNOLOGIES, INC.",9720 CAPITAL CT STE 401,201102039,001016562,00001843Z98Y0EWTK436
"TRACEN TECHNOLOGIES, INC.",9720 CAPITAL CT STE 401,201102052,001016562,0000181GSM22AOV6AO88
L. L. ROWE COMPANY,66 HOLTON ST,018015205,001021930,000018E2PUL0LG4EWC87
L L ROWE COMPANY,66 HOLTON ST,018015205,001021930,0000181093SX3FNMYO89
"HANSEN ENGINEERING AND MACHINERY CO., INC.",2 INDUSTRIAL DR,019230000,001022581,0000189OY0D02GICOO54
"HANSEN ENGINEERING AND MACHINERY CO., INC.",2 INDUSTRIAL DR,019231039,001022581,0000189PDN8GPE104C14
PARSONS GOVERNMENT SERVICES INTERNATIONAL INC.,100 W WALNUT ST,911240001,001026447,0000187WUDKOBTRBWG37
PARSONS GLOBAL SERVICES INC.,100 W WALNUT ST,911240001,001026447,0000189CYUZXR5STSS68
"BARCLAY WATER MANAGEMENT, INC.",55 CHAPEL ST,024581060,001033620,00001842GQ9VPGVM0417
"BARCLAY WATER MANAGEMENT, INC.",150 COOLIDGE AVE,024722815,001033620,000018YMGBVR4WZ8GK03
"BARCLAY WATER MANAGEMENT, INC.",55 CHAPEL ST,024581060,001033620,00001842GQ9VPGVM0417
"BARCLAY WATER MANAGEMENT, INC.",55 CHAPEL ST STE 401,024581075,001033620,0000188TT2QOH0SEO866
MILLIPORE CORPORATION,80 ASHBY RD,017302271,001050152,000018101CC6KIGJ2O28
MILLIPORE CORPORATION,290 CONCORD ROAD,018213405,001050152,000018DP55D1ZW4WWK37
MILLIPORE CORPORATION,80 ASHBY RD,017302271,001050152,000018101CC6KIGJ2O28
EMD MILLIPORE CORPORATION,290 CONCORD RD,018213405,001050152,000018489NP3Y098O440
DIVISION21 INC,334 UNIVERSITY AVE E,551304432,001051437,00001889XGDYWPH6W487
DIVISION21 INC,2402 UNIVERSITY AVE W STE 702,551141701,001051437,000018DKYZHKVJHAG423
"EDSON CORPORATION, THE",146 DUCHAINE BLVD,027451201,001061993,000018C4MYFSPPWA8S41
THE EDSON CORPORATION,146 DUCHAINE BLVD,027451201,001061993,000018D36YKUHUIY8S57
H&H PROPELLER SHOP INC.,0 ESSEX ST,019700001,001063577,000018CU19U2Z0MA0486
H&H PROPELLER SHOP INC.,0 ESSEX ST,019700000,001063577,000018101PQ8NVN77K47
BENDON GEAR & MACHINE INC,100 WEYMOUTH ST STE A1,023701147,001072495,0000182XJEI16KSGQO69
BENDON GEAR & MACHINE INC,100 WEYMOUTH ST STE A1,023701145,001072495,000018A2OHO882CCW812
"SMITHS TUBULAR SYSTEMS-LACONIA, INC.",144 LEXINGTON DR DOCK 2,032462936,001083609,0000182LYTBCLCIMCC55
"SMITHS TUBULAR SYSTEMS-LACONIA, INC.",93 LEXINGTON DR,032462935,001083609,0000189BEHITBZ5NGG75
"RODNEY HUNT COMPANY, INC.",46 MILL ST,013641251,001117720,0000183I1ZYQV4BWG005
RODNEY HUNT-FONTAINE INC.,46 MILL ST,013641251,001117720,000018CQHWBGWZKLK474
"BONIFACE TOOL &amp; DIE, INC.",181 SOUTHBRIDGE RD RTE 131,015710000,001126390,000018EO6P546KL7CC15
"BONIFACE TOOL & DIE, INC.",181 SOUTHBRIDGE RD RTE 131,015710000,001126390,0000182FI4SDJW3SCG61
SENIOR CARE CENTERS OF MISSISSIPPI,6250 OLD CANTON RD STE 140,392116250,001130512,000018DCOJCT9TX3SC73
SENIOR CARE CENTERS OF MISSISSIPPI,6250 OLD CANTON RD STE 140,392112946,001130512,0000181ST5GCWPQD1C13
KEARFOTT CORPORATION,2858 US HWY 70 W,287119111,001141274,0000187G8WABR1K8KC82
KEARFOTT GUIDANCE & NAVIGATION CORPORATION,2858 US HWY 70 W,287119111,001141274,000018CV1LB4XF76WO91
"TIMKEN COMPANY, THE",336 MECHANIC ST,037662614,001148717,0000185Q1WCWLY858G08
"TIMKEN AEROSPACE, INC",336 MECHANIC ST,037662614,001148717,000018A4Y9ADRS0KOO23
"LEWIS MACHINE, LLC",22 JOHN ST,061082118,001150978,00001829HOTVK0NQ0W53
