Vendor Name,Address,Zip Code,DUNS Number,ProtoLEI
LOCKHEED MARTIN CORPORATION,1111 LOCKHEED MARTIN WAY BLDG 157,940891212,872978978,00001810R3WUU8AXA858
LOCKHEED MARTIN CORPORATION,1111 LOCKHEED MARTIN WAY,940891212,196596688,00001810R3WUU8AXA858
LOCKHEED MARTIN CORPORATION,1111 LOCKHEED MARTIN WAY BLDG 157,940891212,872978978,00001810R3WUU8AXA858
LOCKHEED MARTIN CORPORATION,"1111 LOCKHEED MARTIN WAY, LOCATION A",940891212,188160782,00001810R3WUU8AXA858
LOCKHEED MARTIN CORPORATION,9500 GODWIN DR  BLDG 400,20110,173381963,00001810YN6EZV03I818
LOCKHEED MARTIN CORPORATION,9500 GODWIN DR,20110,019710586,00001810YN6EZV03I818
LOCKHEED MARTIN CORPORATION,9500 GODWIN DR  BLDG 400,20110,173381963,00001810YN6EZV03I818
LOCKHEED MARTIN CORPORATION,"9500 GODWIN DR, LOCATION B",20110,147286699,00001810YN6EZV03I818
ABBOTT LABORATORIES,100 ABBOTT PARK RD,600643500,001307602,00001812N7ORPIDIBK27
ABBOTT LABORATORIES,100 ABBOTT PARK RD DEPT 943 BLDG AP6C-3,600643500,127208879,00001812N7ORPIDIBK27
NORTHROP GRUMMAN SPACE AND MISSION SYSTEMS CORPORATION,12900 FEDERAL SYSTEMS PARK DR,220334421,152791505,00001815U986HRT7DS94
NORTHROP GRUMMAN SPACE AND MISSION SYSTEMS CORPORATION,12900 FEDERAL SYSTEMS PARK DR,220334421,083864038,00001815U986HRT7DS94
"SMITHS INTERCONNECT MICROWAVE COMPONENTS, INC.",8851 SW OLD KANSAS AVE,349977204,002596799,00001816JHI3J1XYF494
"SMITHS INTERCONNECT MICROWAVE COMPONENTS, INC.",8851 SW OLD KANSAS AVE,349977204,108344987,00001816JHI3J1XYF494
"FIRST DATABANK, INC.",500 E 96TH ST STE 500,462403767,018727750,00001816PHHQKIVZI833
"FIRST DATABANK, INC.","500 E. 96TH STREET, STE 500",462403767,084259696,00001816PHHQKIVZI833
PLEXUS SCIENTIFIC CORPORATION,4501 FORD AVE STE 1200,223021466,120485334,000018171P84L8K3TS12
PLEXUS SCIENTIFIC CORPORATION,4501 FORD AVE STE 1200,223021466,176158434,000018171P84L8K3TS12
NORTHROP GRUMMAN SYSTEMS CORPORATION,2340 DULLES CORNER BLVD,201713400,833157261,0000181AT8CIL6ID4W53
NORTHROP GRUMMAN SYSTEMS CORPORATION,2340 DULLES CORNER BLVD,201713400,793018888,0000181AT8CIL6ID4W53
"VENCORE SERVICES AND SOLUTIONS, INC",11091 SUNSET HILLS RD STE 200,201905378,613194799,0000181BOD5JGPJAU821
"VENCORE SERVICES AND SOLUTIONS, INC",11091 SUNSET HILLS RD STE 200,201905378,827599759,0000181BOD5JGPJAU821
"COMMERCIAL FURNITURE GROUP, INC.",10650 GATEWAY BLVD,631321802,804420664,0000181CZRPI24BZ7K91
"COMMERCIAL FURNITURE GROUP, INC.",10650 GATEWAY BLVD,631321802,006274435,0000181CZRPI24BZ7K91
"COMMERCIAL FURNITURE GROUP, INC.",10650 GATEWAY BLVD,631321802,804420664,0000181CZRPI24BZ7K91
"COMMERCIAL FURNITURE GROUP, INC.",10650 GATEWAY BLVD,631321802,804420730,0000181CZRPI24BZ7K91
"AMEC ENVIRONMENT &amp; INFRASTRUCTURE, INC.",502 W GERMANTOWN PIKE STE 850,194621311,009643354,0000181E7770D8IBTS87
"AMEC ENVIRONMENT &amp; INFRASTRUCTURE, INC.",502 W GERMANTOWN PIKE STE 850,194621311,038086125,0000181E7770D8IBTS87
"PITNEY BOWES BANK, INC., THE",1245 E BRICKYARD RD STE 250,841064278,172214715,0000181FU46FTH6Z6O65
"PITNEY BOWES BANK, INC., THE",1245 BRICKYARD RD STE 240,841064278,021212332,0000181FU46FTH6Z6O65
TEAM PLACEMENT SERVICE INC,1414 PRINCE ST STE 202,223142853,154598320,0000181GDXJ9E1QEBK05
TEAM PLACEMENT SERVICE INCORPORATED,1414 PRINCE ST STE 201,223142853,802428292,0000181GDXJ9E1QEBK05
"SANTA CLARA, COUNTY OF",1555 BERGER DR BLDG 2 FL 3,951122716,106885499,0000181HP3125CV81S75
"SANTA CLARA, COUNTY OF",1555 BERGER DR BLDG 2,951122716,160530572,0000181HP3125CV81S75
UNIVERSITY OF LOUISIANA AT LAFAYETTE,104 UNIVERSITY CIRCLE,705032014,043417377,0000181J25TRGMMOHS95
UNIVERSITY OF LOUISIANA AT LAFAYETTE,104 E UNIVERSITY CIR 3RD FL,705032014,799451273,0000181J25TRGMMOHS95
MIDWESTERN UNIVERSITY,555 31ST ST,605151235,963264320,0000181J9W8AM1W86878
MIDWESTERN UNIVERSITY,555 31ST ST,605151235,181778846,0000181J9W8AM1W86878
AT&T CORP.,1820 E SKY HARBOR CIRCLE,850344812,039654301,0000181KBN3KAAY0LC05
AT&T CORP.,1820 E SKY HARBOR CIRCLE,850344812,034056122,0000181KBN3KAAY0LC05
AT&T CORP.,1820 E SKY HARBOR CIRCLE,850344812,039654301,0000181KBN3KAAY0LC05
AT&T CORP.,1820 E SKY HARBOR CIRCLE,850344812,015281269,0000181KBN3KAAY0LC05
RSM ASHVIR,OHIO,,850533251,0000181LKOFLHYSJDS81
RSM ASHVIR,WOODVALE GROVE,,850533296,0000181LKOFLHYSJDS81
"TETRA TECH NUS, INC.",FOSTER PLZ 7,152202700,049671456,0000181LLH5IAJR64G17
TETRA TECH NUS INCORPORATED,661 ANDERSEN DR STE 5,152202700,004133976,0000181LLH5IAJR64G17
"EDUCATION, MARYLAND DEPARTMENT OF",2301 ARGONNE DR,212181628,183071471,0000181MT8DE8XE8U818
"EDUCATION, MARYLAND DEPARTMENT OF",2301 ARGONNE DR,212181628,071101351,0000181MT8DE8XE8U818
"SCHOOL SPECIALTY, INC.",W6316 DESIGN DR,549428404,079118224,0000181N3XAMMFJV5S18
"SCHOOL SPECIALTY, INC",W6316 DESIGN DR,549428404,006144026,0000181N3XAMMFJV5S18
J. GOODISON COMPANY,244 BURLINGHAM AVE,028527409,829273692,0000181NBIMHMM14LC94
J. GOODISON COMPANY,244 BURLINGHAM AVE,028527409,602455706,0000181NBIMHMM14LC94
ABSG CONSULTING INC.,16855 NORTHCHASE DRIVE,770606006,075238337,0000181NLD7G7XB23K34
ABSG CONSULTING INC.,16855 NORTHCHASE DR,770606006,084977185,0000181NLD7G7XB23K34
"FLEXANOVA, INC",7277 WAELTI DRIVE BAY #7B,329407542,831654269,0000181NYYPF2D4LZ463
"FLEXANOVA, INC",7277 WAELTI DRIVE BAY #7B,329407542,831654236,0000181NYYPF2D4LZ463
"BOEING COMPANY, THE",5301 BOLSA AVE,926472048,008384588,0000181OJC1LRYC1B442
"BOEING COMPANY, THE",5301 BOLSA AVE,926472048,848025649,0000181OJC1LRYC1B442
"BOEING COMPANY, THE",5301 BOLSA AVE,926472048,008384588,0000181OJC1LRYC1B442
"BOEING COMPANY, THE",5301 BOLSA AVE,926472048,622390818,0000181OJC1LRYC1B442
"BOEING COMPANY, THE",5000 EAST MCDOWELL ROAD,852159707,131079993,0000181QN9KRX8ZQ5C80
"BOEING COMPANY, THE",5000 E MCDOWELL RD,852159707,832963453,0000181QN9KRX8ZQ5C80
"BOEING COMPANY, THE",5000 EAST MCDOWELL ROAD,852159707,131079993,0000181QN9KRX8ZQ5C80
"BOEING COMPANY, THE",5000 E MCDOWELL ROAD,852159707,078308968,0000181QN9KRX8ZQ5C80
HONEYWELL INTERNATIONAL INC.,12001 HIGHWAY 55,554414744,108501404,0000181R649B0HQGF448
HONEYWELL INTERNATIONAL INC.,12001 STATE HIGHWAY 55,554414744,039115548,0000181R649B0HQGF448
"MISSOURI SYSTEM, UNIVERSITY OF",316 UNIVERSITY HALL,652113020,153890272,0000181R97FYBLU88027
"MISSOURI SYSTEM, UNIVERSITY OF",321 UNIVERSITY HALL,652113020,006326904,0000181R97FYBLU88027
L-3 COMMUNICATIONS VERTEX AEROSPACE LLC,555 INDUSTRIAL DR S,391109072,091441089,0000181TMXZ3PTNI7465
L-3 COMMUNICATIONS VERTEX AEROSPACE LLC,555 INDUSTRIAL DR S,391109072,788547347,0000181TMXZ3PTNI7465
MEDTRONIC USA INC,6743 SOUTHPOINT DR N,322166218,835465063,0000181UBQ1VGNOB8G66
MEDTRONIC USA INC,6743 SOUTHPOINT DR N,322166218,078281737,0000181UBQ1VGNOB8G66
"NATIONAL AIR CARGO, INC.",350 WINDWARD DR,141271568,808736693,0000181X2GBAILKY8W02
"NATIONAL AIR CARGO, INC.",350 WINDWARD DR,141271568,783730641,0000181X2GBAILKY8W02
"TELEDYNE WIRELESS, LLC",1274 TERRA BELLA AVE,940431820,078327081,0000181X9783C8ZKN495
"TELEDYNE WIRELESS, LLC",1274 TERRA BELLA AVE,940431820,142296073,0000181X9783C8ZKN495
"NCS PEARSON, INC",5601 GREEN VALLEY DR # 220,554371099,043856723,0000181XR4JBW4ZPHC84
"NCS PEARSON, INC.",5601 GREEN VALLEY DR,554371099,121271733,0000181XR4JBW4ZPHC84
"IAP WORLDWIDE SERVICES, INC.",7315 N ATLANTIC AVE,329203721,010816486,0000181Y1R7QACURSW94
"IAP WORLDWIDE SERVICES, INC.",7315 N ATLANTIC AVE,329203721,784330677,0000181Y1R7QACURSW94
FLUKE ELECTRONICS CORPORATION,6920 SEAWAY BLVD,982035829,002687614,0000182238FF2BI9R447
FLUKE ELECTRONICS CORPORATION,6920 SEAWAY BLVD,982035829,079725352,0000182238FF2BI9R447
"TEXAS A&M UNIVERSITY SYSTEM,THE",4467 TAMU,778430001,607332165,00001822VMZ93PFG3K85
"TEXAS A&M UNIVERSITY SYSTEM,THE",CORNER OF SPENCE / UNIVER,778430001,128422474,00001822VMZ93PFG3K85
"TEXAS A&M UNIVERSITY SYSTEM,THE",4467 TAMU,778430001,607332165,00001822VMZ93PFG3K85
"TEXAS A&M UNIVERSITY SYSTEM,THE",750 AGRONOMY RD STE 3101,778430001,802339234,00001822VMZ93PFG3K85
TEXAS A & M UNIVERSITY,VETERINARY MEDICAL ADMINISTRATION BLDG RM 107,778430001,962128260,000018231AKSM1PQBK94
TEXAS A & M UNIVERSITY,750 AGRONOMY RD STE 2701,778430001,020271826,000018231AKSM1PQBK94
SANFORD HEALTH,1305 W 18TH ST,571050401,072918303,000018260D66K59JSW29
SANFORD HEALTH,1305 W 18TH ST,571050401,179350996,000018260D66K59JSW29
COMMUNICATIONS & POWER INDUSTRIES CANADA INC,"45 RIVER DR, LOWER LEVEL",L7G 2J4,202887311,000018299FB3D4RKG048
COMMUNICATIONS & POWER INDUSTRIES CANADA INC,45 RIVER DR,L7G 2J4,203144092,000018299FB3D4RKG048
COMMUNICATIONS & POWER INDUSTRIES CANADA INC,"45 RIVER DR, LOWER LEVEL",L7G 2J4,202887311,000018299FB3D4RKG048
COMMUNICATIONS & POWER INDUSTRIES CANADA INC.,45 RIVER DR,L7G 2J4,249675070,000018299FB3D4RKG048
"RELLI TECHNOLOGY, INC.",1200 S ROGERS CR STE 2,334875703,070092523,0000182CTAND8PZYM859
RELLI TECHNOLOGY INC.,1200 S ROGERS CIRCLE BAY 16,334875703,876464975,0000182CTAND8PZYM859
"L-3 SERVICES, INC.",3033 SCIENCE PARK RD,921211101,801967402,0000182CV3UOA1VK7481
"L-3 SERVICES, INC.",3033 SCIENCE PARK ROAD,921211101,098232465,0000182CV3UOA1VK7481
"NIDEK, INC",47651 WESTINGHOUSE DR,945397474,027097638,0000182EYMJ65VZ8N451
NIDEK INCORPORATED,47651 WESTINGHOUSE DR,945397474,066524612,0000182EYMJ65VZ8N451
